run,gen,filename,gap
1,1,461_584_01010101,0.051138
1,1,778_465_01010101,0.110752
1,1,190_1165_01010101,0.203337
1,1,190_56_01010101,0.288903
1,1,610_98_01010101,0.348464
1,1,1039_996_01010101,0.474151
1,1,812_371_01010101,0.492036
1,1,177_221_01010101,0.688518
1,1,790_967_01010101,0.796908
1,1,354_83_01010101,0.813070
1,1,610_237_01010101,0.829037
1,1,488_298_01010101,0.857694
1,1,1046_881_01010101,0.871715
1,1,1037_534_01010101,0.882129
1,1,691_821_01010101,0.996860
1,1,1202_738_01010101,1.007390
1,1,337_892_01010101,1.037909
1,1,471_65_01010101,1.118485
1,1,687_507_01010101,1.133354
1,1,298_788_01010101,1.146754
1,1,864_963_01010101,1.209722
1,1,421_1099_01010101,1.420316
1,1,621_1034_01010101,1.427014
1,1,754_625_01010101,1.489933
1,1,100_207_01010101,1.490968
1,1,718_1173_01010101,1.521982
1,1,298_591_01010101,1.555287
1,1,1094_532_01010101,1.738101
1,1,594_805_01010101,1.767625
1,1,648_340_01010101,1.902244
1,1,314_538_01010101,2.197527
1,1,617_201_01010101,2.235534
1,2,461_584_01010101,0.051138
1,2,778_465_01010101,0.110752
1,2,778_298_01010101,0.154382
1,2,190_738_01010101,0.169669
1,2,190_1165_01010101,0.203337
1,2,190_56_01010101,0.288903
1,2,610_98_01010101,0.348464
1,2,778_237_01010101,0.395121
1,2,1039_996_01010101,0.474151
1,2,812_371_01010101,0.492036
1,2,177_221_01010101,0.688518
1,2,190_584_01010101,0.704407
1,2,190_237_01010101,0.712071
1,2,949_881_01010101,0.732298
1,2,790_967_01010101,0.796908
1,2,354_83_01010101,0.813070
1,2,610_237_01010101,0.829037
1,2,488_298_01010101,0.857694
1,2,1046_881_01010101,0.871715
1,2,1037_534_01010101,0.882129
1,2,691_107_01010101,0.927140
1,2,819_465_01010101,0.968760
1,2,691_821_01010101,0.996860
1,2,1202_738_01010101,1.007390
1,2,123_881_01010101,1.019163
1,2,808_534_01010101,1.059444
1,2,1165_1165_01010101,1.158614
1,2,354_738_01010101,1.304396
1,2,177_967_01010101,1.482706
1,2,177_824_01010101,1.582685
1,2,354_298_01010101,1.838046
1,2,177_1028_01010101,2.392198
1,3,221_465_01010101,0.015420
1,3,461_584_01010101,0.051138
1,3,778_465_01010101,0.110752
1,3,778_584_01010101,0.135257
1,3,778_298_01010101,0.154382
1,3,190_738_01010101,0.169669
1,3,190_1165_01010101,0.203337
1,3,190_98_01010101,0.284682
1,3,190_56_01010101,0.288903
1,3,610_98_01010101,0.348464
1,3,778_237_01010101,0.395121
1,3,190_827_01010101,0.448307
1,3,1039_371_01010101,0.456590
1,3,1039_996_01010101,0.474151
1,3,812_371_01010101,0.492036
1,3,1090_465_01010101,0.497533
1,3,630_83_01010101,0.597165
1,3,177_221_01010101,0.688518
1,3,190_584_01010101,0.704407
1,3,190_237_01010101,0.712071
1,3,949_881_01010101,0.732298
1,3,918_584_01010101,0.740351
1,3,790_967_01010101,0.796908
1,3,354_83_01010101,0.813070
1,3,17_881_01010101,0.880475
1,3,1039_1064_01010101,0.975731
1,3,396_738_01010101,1.059473
1,3,551_465_01010101,1.141895
1,3,354_996_01010101,1.238304
1,3,949_164_01010101,1.668707
1,3,177_358_01010101,2.022076
1,3,1131_237_01010101,2.139473
1,4,778_98_01010101,0.004275
1,4,221_98_01010101,0.010958
1,4,221_465_01010101,0.015420
1,4,778_827_01010101,0.049415
1,4,461_584_01010101,0.051138
1,4,461_738_01010101,0.076030
1,4,778_56_01010101,0.108757
1,4,778_465_01010101,0.110752
1,4,778_584_01010101,0.135257
1,4,778_215_01010101,0.139992
1,4,778_298_01010101,0.154382
1,4,190_738_01010101,0.169669
1,4,190_1165_01010101,0.203337
1,4,772_98_01010101,0.240776
1,4,190_98_01010101,0.284682
1,4,190_56_01010101,0.288903
1,4,190_465_01010101,0.308108
1,4,610_98_01010101,0.348464
1,4,778_237_01010101,0.395121
1,4,190_827_01010101,0.448307
1,4,1039_371_01010101,0.456590
1,4,1039_996_01010101,0.474151
1,4,812_371_01010101,0.492036
1,4,1090_465_01010101,0.497533
1,4,190_779_01010101,0.510306
1,4,190_937_01010101,0.524790
1,4,1039_465_01010101,0.672447
1,4,190_584_01010101,0.704407
1,4,190_237_01010101,0.712071
1,4,1038_584_01010101,1.288826
1,4,763_584_01010101,1.339040
1,4,1151_98_01010101,1.730243
1,5,778_98_01010101,0.004275
1,5,221_98_01010101,0.010958
1,5,221_465_01010101,0.015420
1,5,190_863_01010101,0.017717
1,5,778_827_01010101,0.049415
1,5,461_584_01010101,0.051138
1,5,461_738_01010101,0.076030
1,5,461_260_01010101,0.086757
1,5,461_341_01010101,0.095263
1,5,778_56_01010101,0.108757
1,5,778_465_01010101,0.110752
1,5,778_1165_01010101,0.115429
1,5,778_1171_01010101,0.125101
1,5,778_584_01010101,0.135257
1,5,778_215_01010101,0.139992
1,5,778_298_01010101,0.154382
1,5,190_738_01010101,0.169669
1,5,190_1165_01010101,0.203337
1,5,772_98_01010101,0.240776
1,5,190_98_01010101,0.284682
1,5,190_56_01010101,0.288903
1,5,525_98_01010101,0.384066
1,5,190_432_01010101,0.384406
1,5,117_56_01010101,0.641955
1,5,190_584_01010101,0.704407
1,5,501_98_01010101,0.818996
1,5,772_298_01010101,0.925872
1,5,551_98_01010101,0.972455
1,5,90_465_01010101,0.984782
1,5,190_680_01010101,1.033486
1,5,804_1165_01010101,1.100875
1,5,302_584_01010101,1.445374
1,6,778_98_01010101,0.004275
1,6,778_772_01010101,0.007363
1,6,221_98_01010101,0.010958
1,6,221_465_01010101,0.015420
1,6,778_989_01010101,0.016864
1,6,190_863_01010101,0.017717
1,6,461_56_01010101,0.027838
1,6,778_601_01010101,0.043032
1,6,778_827_01010101,0.049415
1,6,461_584_01010101,0.051138
1,6,221_341_01010101,0.076008
1,6,461_738_01010101,0.076030
