gen,min_gap,max_gap,avg_gap,spearman
1,0.007896,2.406593,1.241754,n/a
2,0.007896,1.677897,0.873994,0.669269
3,0.001397,1.192300,0.578011,0.631638
4,0.001397,1.493207,0.478651,0.562608
5,0.001397,1.310434,0.429804,0.549126
6,0.001397,1.493207,0.264054,0.631665
7,0.001397,1.667889,0.321226,0.404423
8,0.001397,1.773986,0.253325,0.595692
9,0.000961,2.503855,0.288345,0.949158
10,0.000961,1.512139,0.346843,0.905631
11,0.000961,2.253309,0.405596,0.948913
12,0.000961,2.501057,0.559415,0.901976
13,0.000961,1.404776,0.149434,0.900232
14,0.000961,2.328993,0.356291,0.846038
15,0.000961,1.612681,0.231892,0.901527
16,0.000961,1.891735,0.354731,0.714197
17,0.000961,1.990277,0.368939,0.948781
18,0.000961,2.503989,0.375830,0.810529
19,0.000961,2.239747,0.434139,0.809967
20,0.000436,2.239747,0.349188,0.804746
21,0.000436,2.215407,0.567167,0.902888
22,0.000436,1.768630,0.314035,0.901236
23,0.000436,2.401837,0.340047,0.672825
24,0.000133,1.979653,0.241910,0.855000
25,0.000133,2.073397,0.299898,0.676724
26,0.000133,1.586142,0.291262,0.951543
27,0.000133,1.493828,0.247322,0.808176
28,0.000133,2.175822,0.269606,0.808890
29,0.000133,1.977273,0.379700,0.807905
30,0.000133,1.740029,0.254285,0.770816
31,0.000045,1.341416,0.234011,0.944855
32,0.000045,2.137407,0.439074,0.541281
33,0.000045,2.233733,0.302728,0.813529
34,0.000045,1.380364,0.194609,0.771311
35,0.000045,1.615277,0.323359,0.730144
36,0.000045,1.732973,0.345153,0.772322
37,0.000045,1.689202,0.167582,0.678073
38,0.000045,2.168486,0.339488,0.636846
39,0.000045,1.865614,0.377935,0.827672
40,0.000045,2.283271,0.319341,0.828168
41,0.000045,1.872641,0.433619,0.630673
