Name,Monomer1,Monomer2,Singlet Energy,Singlet HOMO,Singlet LUMO,Singlet Gap,Triplet Energy,E_TS
642_630,642,630,-124476.24199971555,-5.2565320956487005,-4.945424330372051,0.31110776527664985,-124479.11503053921,-2.8730308236554265
767_642,767,642,-142760.67929783164,-5.1453463763344,-4.67967794397375,0.46566843236065036,-142763.43639754257,-2.757099710928742
642_1124,642,1124,-121203.53753447205,-4.825939138617501,-4.32026997023335,0.5056691683841503,-121206.35159468684,-2.8140602147905156
365_642,365,642,-213196.89046926954,-4.90161400044155,-4.43825853581015,0.4633554646314,-213200.86538050414,-3.9749112346034963
563_35,563,35,-111407.431893268,-4.519294040489051,-4.0417070214765,0.4775870190125504,-111410.26325556987,-2.8313623018621
470_642,470,642,-91515.27682020042,-4.55026059667595,-4.04222403779245,0.5080365588835001,-91518.01814030125,-2.741320100831217
128_642,128,642,-214628.99499844463,-5.03669131582975,-3.99792390293105,1.0387674128987001,-214631.81484706522,-2.819848620594712
1199_35,1199,35,-125740.38715181123,-5.4336782123242005,-4.79423787503425,0.6394403372899502,-125743.04721164136,-2.6600598301301943
194_35,194,35,-80806.0589116258,-4.87902855085005,-4.34231119212385,0.5367173587262002,-80808.9155973868,-2.8566857609985163
762_642,762,642,-171697.13886691115,-4.7152976470042,-4.26002396373265,0.4552736832715505,-171699.8774239679,-2.73855705675669
642_105,642,105,-116059.50693949121,-5.34837052019245,-4.96626825132035,0.3821022688721003,-116062.35021901915,-2.8432795279368293
1088_35,1088,35,-155082.5134117894,-5.1615099390541,-4.646180728977201,0.5153292100768994,-155085.33114526907,-2.8177334796637297
862_642,862,642,-109057.3523797914,-4.71570581777995,-4.2742555181138,0.44145029966615024,-109060.18428251136,-2.831902719961363
614_35,614,35,-81045.97403240946,-4.742318552358849,-4.249112198327601,0.4932063540312486,-81048.78459351223,-2.8105611027713167
128_642_open,128,642,-214626.9806235837,-4.7456111299499,-4.39874760471755,0.34686352523235,-214630.21122670107,-3.23060311737936
73_35,73,35,-221604.89352947596,-4.9420229072408,-4.3520800793568,0.5899428278840002,-221607.68402381495,-2.790494338987628
820_642,820,642,-186699.10381077323,-4.84550412446845,-4.2841060395019,0.5613980849665499,-186701.6794331313,-2.575622358068358
